"t","L1_cat","L2_cat","counts"
-1528,"EF","EFTF",0
-1528,"EF","EFSS",0
-1528,"EDPM","TCEM",5
-1527,"EF","EFTF",0
-1527,"EF","EFSS",0
-1527,"EDPM","TCEM",5
-1526,"EF","EFTF",1
-1526,"EF","EFSS",1
-1526,"EDPM","TCEM",4
-1525,"EF","EFTF",0
-1525,"EF","EFSS",0
-1525,"EDPM","TCEM",5
-1524,"EF","EFTF",0
-1524,"EF","EFSS",0
-1524,"EDPM","TCEM",4
-1523,"EF","EFTF",2
-1523,"EF","EFSS",0
-1523,"EDPM","TCEM",10
-1522,"EF","EFTF",1
-1522,"EF","EFSS",0
-1522,"EDPM","TCEM",11
-1521,"EF","EFTF",0
-1521,"EF","EFSS",0
-1521,"EDPM","TCEM",4
-1520,"EF","EFTF",0
-1520,"EF","EFSS",0
-1520,"EDPM","TCEM",4
-1519,"EF","EFTF",0
-1519,"EF","EFSS",0
-1519,"EDPM","TCEM",7
-1518,"EF","EFTF",3
-1518,"EF","EFSS",1
-1518,"EDPM","TCEM",3
-1517,"EF","EFTF",0
-1517,"EF","EFSS",0
-1517,"EDPM","TCEM",4
-1516,"EF","EFTF",0
-1516,"EF","EFSS",0
-1516,"EDPM","TCEM",8
-1515,"EF","EFTF",1
-1515,"EF","EFSS",1
-1515,"EDPM","TCEM",6
-1514,"EF","EFTF",1
-1514,"EF","EFSS",1
-1514,"EDPM","TCEM",8
-1513,"EF","EFTF",0
-1513,"EF","EFSS",0
-1513,"EDPM","TCEM",5
-1512,"EF","EFTF",1
-1512,"EF","EFSS",1
-1512,"EDPM","TCEM",3
-1511,"EF","EFTF",0
-1511,"EF","EFSS",0
-1511,"EDPM","TCEM",3
-1510,"EF","EFTF",1
-1510,"EF","EFSS",0
-1510,"EDPM","TCEM",4
-1509,"EF","EFTF",2
-1509,"EF","EFSS",1
-1509,"EDPM","TCEM",6
-1508,"EF","EFTF",0
-1508,"EF","EFSS",1
-1508,"EDPM","TCEM",8
-1507,"EF","EFTF",3
-1507,"EF","EFSS",1
-1507,"EDPM","TCEM",1
-1506,"EF","EFTF",0
-1506,"EF","EFSS",0
-1506,"EDPM","TCEM",5
-1505,"EF","EFTF",0
-1505,"EF","EFSS",1
-1505,"EDPM","TCEM",4
-1504,"EF","EFTF",0
-1504,"EF","EFSS",0
-1504,"EDPM","TCEM",1
-1503,"EF","EFTF",0
-1503,"EF","EFSS",0
-1503,"EDPM","TCEM",3
-1502,"EF","EFTF",1
-1502,"EF","EFSS",1
-1502,"EDPM","TCEM",7
-1501,"EF","EFTF",0
-1501,"EF","EFSS",1
-1501,"EDPM","TCEM",5
-1500,"EF","EFTF",1
-1500,"EF","EFSS",0
-1500,"EDPM","TCEM",5
-1499,"EF","EFTF",1
-1499,"EF","EFSS",0
-1499,"EDPM","TCEM",2
-1498,"EF","EFTF",1
-1498,"EF","EFSS",0
-1498,"EDPM","TCEM",10
-1497,"EF","EFTF",0
-1497,"EF","EFSS",0
-1497,"EDPM","TCEM",7
-1496,"EF","EFTF",0
-1496,"EF","EFSS",0
-1496,"EDPM","TCEM",5
-1495,"EF","EFTF",1
-1495,"EF","EFSS",1
-1495,"EDPM","TCEM",6
-1494,"EF","EFTF",0
-1494,"EF","EFSS",0
-1494,"EDPM","TCEM",4
-1493,"EF","EFTF",1
-1493,"EF","EFSS",0
-1493,"EDPM","TCEM",3
-1492,"EF","EFTF",0
-1492,"EF","EFSS",0
-1492,"EDPM","TCEM",7
-1491,"EF","EFTF",3
-1491,"EF","EFSS",1
-1491,"EDPM","TCEM",6
-1490,"EF","EFTF",1
-1490,"EF","EFSS",0
-1490,"EDPM","TCEM",6
-1489,"EF","EFTF",0
-1489,"EF","EFSS",1
-1489,"EDPM","TCEM",4
-1488,"EF","EFTF",1
-1488,"EF","EFSS",0
-1488,"EDPM","TCEM",4
-1487,"EF","EFTF",0
-1487,"EF","EFSS",0
-1487,"EDPM","TCEM",4
-1486,"EF","EFTF",0
-1486,"EF","EFSS",1
-1486,"EDPM","TCEM",3
-1485,"EF","EFTF",1
-1485,"EF","EFSS",0
-1485,"EDPM","TCEM",7
-1484,"EF","EFTF",0
-1484,"EF","EFSS",0
-1484,"EDPM","TCEM",2
-1483,"EF","EFTF",0
-1483,"EF","EFSS",0
-1483,"EDPM","TCEM",5
-1482,"EF","EFTF",2
-1482,"EF","EFSS",3
-1482,"EDPM","TCEM",9
-1481,"EF","EFTF",0
-1481,"EF","EFSS",0
-1481,"EDPM","TCEM",4
-1480,"EF","EFTF",1
-1480,"EF","EFSS",2
-1480,"EDPM","TCEM",6
-1479,"EF","EFTF",0
-1479,"EF","EFSS",0
-1479,"EDPM","TCEM",7
-1478,"EF","EFTF",1
-1478,"EF","EFSS",0
-1478,"EDPM","TCEM",5
-1477,"EF","EFTF",1
-1477,"EF","EFSS",0
-1477,"EDPM","TCEM",7
-1476,"EF","EFTF",0
-1476,"EF","EFSS",1
-1476,"EDPM","TCEM",5
-1475,"EF","EFTF",0
-1475,"EF","EFSS",0
-1475,"EDPM","TCEM",7
-1474,"EF","EFTF",0
-1474,"EF","EFSS",0
-1474,"EDPM","TCEM",6
-1473,"EF","EFTF",0
-1473,"EF","EFSS",0
-1473,"EDPM","TCEM",6
-1472,"EF","EFTF",0
-1472,"EF","EFSS",0
-1472,"EDPM","TCEM",3
-1471,"EF","EFTF",1
-1471,"EF","EFSS",0
-1471,"EDPM","TCEM",3
-1470,"EF","EFTF",0
-1470,"EF","EFSS",0
-1470,"EDPM","TCEM",3
-1469,"EF","EFTF",0
-1469,"EF","EFSS",1
-1469,"EDPM","TCEM",6
-1468,"EF","EFTF",2
-1468,"EF","EFSS",0
-1468,"EDPM","TCEM",6
-1467,"EF","EFTF",1
-1467,"EF","EFSS",1
-1467,"EDPM","TCEM",5
-1466,"EF","EFTF",0
-1466,"EF","EFSS",0
-1466,"EDPM","TCEM",4
-1465,"EF","EFTF",0
-1465,"EF","EFSS",0
-1465,"EDPM","TCEM",1
-1464,"EF","EFTF",0
-1464,"EF","EFSS",1
-1464,"EDPM","TCEM",4
-1463,"EF","EFTF",2
-1463,"EF","EFSS",0
-1463,"EDPM","TCEM",4
-1462,"EF","EFTF",0
-1462,"EF","EFSS",0
-1462,"EDPM","TCEM",8
-1461,"EF","EFTF",0
-1461,"EF","EFSS",0
-1461,"EDPM","TCEM",3
-1460,"EF","EFTF",0
-1460,"EF","EFSS",0
-1460,"EDPM","TCEM",6
-1459,"EF","EFTF",0
-1459,"EF","EFSS",0
-1459,"EDPM","TCEM",2
-1458,"EF","EFTF",0
-1458,"EF","EFSS",0
-1458,"EDPM","TCEM",6
-1457,"EF","EFTF",0
-1457,"EF","EFSS",0
-1457,"EDPM","TCEM",7
-1456,"EF","EFTF",0
-1456,"EF","EFSS",0
-1456,"EDPM","TCEM",5
-1455,"EF","EFTF",0
-1455,"EF","EFSS",0
-1455,"EDPM","TCEM",9
-1454,"EF","EFTF",1
-1454,"EF","EFSS",1
-1454,"EDPM","TCEM",8
-1453,"EF","EFTF",1
-1453,"EF","EFSS",0
-1453,"EDPM","TCEM",5
-1452,"EF","EFTF",2
-1452,"EF","EFSS",2
-1452,"EDPM","TCEM",6
-1451,"EF","EFTF",0
-1451,"EF","EFSS",0
-1451,"EDPM","TCEM",2
-1450,"EF","EFTF",1
-1450,"EF","EFSS",0
-1450,"EDPM","TCEM",5
-1449,"EF","EFTF",2
-1449,"EF","EFSS",1
-1449,"EDPM","TCEM",7
-1448,"EF","EFTF",1
-1448,"EF","EFSS",0
-1448,"EDPM","TCEM",8
-1447,"EF","EFTF",0
-1447,"EF","EFSS",0
-1447,"EDPM","TCEM",2
-1446,"EF","EFTF",0
-1446,"EF","EFSS",1
-1446,"EDPM","TCEM",7
-1445,"EF","EFTF",0
-1445,"EF","EFSS",0
-1445,"EDPM","TCEM",6
-1444,"EF","EFTF",1
-1444,"EF","EFSS",0
-1444,"EDPM","TCEM",5
-1443,"EF","EFTF",0
-1443,"EF","EFSS",0
-1443,"EDPM","TCEM",4
-1442,"EF","EFTF",0
-1442,"EF","EFSS",0
-1442,"EDPM","TCEM",4
-1441,"EF","EFTF",0
-1441,"EF","EFSS",0
-1441,"EDPM","TCEM",3
-1440,"EF","EFTF",1
-1440,"EF","EFSS",0
-1440,"EDPM","TCEM",3
-1439,"EF","EFTF",0
-1439,"EF","EFSS",0
-1439,"EDPM","TCEM",4
-1438,"EF","EFTF",1
-1438,"EF","EFSS",1
-1438,"EDPM","TCEM",5
-1437,"EF","EFTF",0
-1437,"EF","EFSS",0
-1437,"EDPM","TCEM",4
-1436,"EF","EFTF",1
-1436,"EF","EFSS",1
-1436,"EDPM","TCEM",3
-1435,"EF","EFTF",1
-1435,"EF","EFSS",1
-1435,"EDPM","TCEM",7
-1434,"EF","EFTF",0
-1434,"EF","EFSS",0
-1434,"EDPM","TCEM",9
-1433,"EF","EFTF",0
-1433,"EF","EFSS",0
-1433,"EDPM","TCEM",5
-1432,"EF","EFTF",1
-1432,"EF","EFSS",1
-1432,"EDPM","TCEM",8
-1431,"EF","EFTF",0
-1431,"EF","EFSS",0
-1431,"EDPM","TCEM",4
-1430,"EF","EFTF",0
-1430,"EF","EFSS",0
-1430,"EDPM","TCEM",1
-1429,"EF","EFTF",1
-1429,"EF","EFSS",1
-1429,"EDPM","TCEM",5
-1428,"EF","EFTF",0
-1428,"EF","EFSS",0
-1428,"EDPM","TCEM",7
-1427,"EF","EFTF",0
-1427,"EF","EFSS",0
-1427,"EDPM","TCEM",3
-1426,"EF","EFTF",0
-1426,"EF","EFSS",0
-1426,"EDPM","TCEM",5
-1425,"EF","EFTF",0
-1425,"EF","EFSS",0
-1425,"EDPM","TCEM",5
-1424,"EF","EFTF",0
-1424,"EF","EFSS",0
-1424,"EDPM","TCEM",11
-1423,"EF","EFTF",0
-1423,"EF","EFSS",1
-1423,"EDPM","TCEM",10
-1422,"EF","EFTF",2
-1422,"EF","EFSS",2
-1422,"EDPM","TCEM",9
-1421,"EF","EFTF",1
-1421,"EF","EFSS",0
-1421,"EDPM","TCEM",5
-1420,"EF","EFTF",0
-1420,"EF","EFSS",0
-1420,"EDPM","TCEM",8
-1419,"EF","EFTF",0
-1419,"EF","EFSS",0
-1419,"EDPM","TCEM",2
-1418,"EF","EFTF",1
-1418,"EF","EFSS",0
-1418,"EDPM","TCEM",6
-1417,"EF","EFTF",1
-1417,"EF","EFSS",3
-1417,"EDPM","TCEM",10
-1416,"EF","EFTF",0
-1416,"EF","EFSS",0
-1416,"EDPM","TCEM",7
-1415,"EF","EFTF",0
-1415,"EF","EFSS",0
-1415,"EDPM","TCEM",6
-1414,"EF","EFTF",0
-1414,"EF","EFSS",1
-1414,"EDPM","TCEM",7
-1413,"EF","EFTF",1
-1413,"EF","EFSS",0
-1413,"EDPM","TCEM",5
-1412,"EF","EFTF",1
-1412,"EF","EFSS",0
-1412,"EDPM","TCEM",6
-1411,"EF","EFTF",0
-1411,"EF","EFSS",0
-1411,"EDPM","TCEM",6
-1410,"EF","EFTF",0
-1410,"EF","EFSS",0
-1410,"EDPM","TCEM",6
-1409,"EF","EFTF",0
-1409,"EF","EFSS",0
-1409,"EDPM","TCEM",3
-1408,"EF","EFTF",0
-1408,"EF","EFSS",0
-1408,"EDPM","TCEM",7
-1407,"EF","EFTF",0
-1407,"EF","EFSS",1
-1407,"EDPM","TCEM",8
-1406,"EF","EFTF",0
-1406,"EF","EFSS",0
-1406,"EDPM","TCEM",3
-1405,"EF","EFTF",0
-1405,"EF","EFSS",0
-1405,"EDPM","TCEM",2
-1404,"EF","EFTF",0
-1404,"EF","EFSS",0
-1404,"EDPM","TCEM",7
-1403,"EF","EFTF",0
-1403,"EF","EFSS",0
-1403,"EDPM","TCEM",9
-1402,"EF","EFTF",1
-1402,"EF","EFSS",0
-1402,"EDPM","TCEM",6
-1401,"EF","EFTF",0
-1401,"EF","EFSS",0
-1401,"EDPM","TCEM",7
-1400,"EF","EFTF",1
-1400,"EF","EFSS",1
-1400,"EDPM","TCEM",7
-1399,"EF","EFTF",0
-1399,"EF","EFSS",0
-1399,"EDPM","TCEM",4
-1398,"EF","EFTF",0
-1398,"EF","EFSS",0
-1398,"EDPM","TCEM",6
-1397,"EF","EFTF",1
-1397,"EF","EFSS",1
-1397,"EDPM","TCEM",5
-1396,"EF","EFTF",2
-1396,"EF","EFSS",1
-1396,"EDPM","TCEM",3
-1395,"EF","EFTF",0
-1395,"EF","EFSS",0
-1395,"EDPM","TCEM",2
-1394,"EF","EFTF",0
-1394,"EF","EFSS",2
-1394,"EDPM","TCEM",5
-1393,"EF","EFTF",0
-1393,"EF","EFSS",0
-1393,"EDPM","TCEM",5
-1392,"EF","EFTF",0
-1392,"EF","EFSS",0
-1392,"EDPM","TCEM",4
-1391,"EF","EFTF",0
-1391,"EF","EFSS",1
-1391,"EDPM","TCEM",5
-1390,"EF","EFTF",4
-1390,"EF","EFSS",1
-1390,"EDPM","TCEM",7
-1389,"EF","EFTF",0
-1389,"EF","EFSS",0
-1389,"EDPM","TCEM",4
-1388,"EF","EFTF",0
-1388,"EF","EFSS",0
-1388,"EDPM","TCEM",3
-1387,"EF","EFTF",2
-1387,"EF","EFSS",1
-1387,"EDPM","TCEM",10
-1386,"EF","EFTF",1
-1386,"EF","EFSS",3
-1386,"EDPM","TCEM",11
-1385,"EF","EFTF",0
-1385,"EF","EFSS",1
-1385,"EDPM","TCEM",7
-1384,"EF","EFTF",1
-1384,"EF","EFSS",1
-1384,"EDPM","TCEM",5
-1383,"EF","EFTF",1
-1383,"EF","EFSS",0
-1383,"EDPM","TCEM",8
-1382,"EF","EFTF",0
-1382,"EF","EFSS",0
-1382,"EDPM","TCEM",4
-1381,"EF","EFTF",0
-1381,"EF","EFSS",0
-1381,"EDPM","TCEM",4
-1380,"EF","EFTF",2
-1380,"EF","EFSS",0
-1380,"EDPM","TCEM",3
-1379,"EF","EFTF",0
-1379,"EF","EFSS",1
-1379,"EDPM","TCEM",6
-1378,"EF","EFTF",0
-1378,"EF","EFSS",0
-1378,"EDPM","TCEM",3
-1377,"EF","EFTF",2
-1377,"EF","EFSS",0
-1377,"EDPM","TCEM",6
-1376,"EF","EFTF",3
-1376,"EF","EFSS",1
-1376,"EDPM","TCEM",8
-1375,"EF","EFTF",0
-1375,"EF","EFSS",0
-1375,"EDPM","TCEM",6
-1374,"EF","EFTF",1
-1374,"EF","EFSS",1
-1374,"EDPM","TCEM",6
-1373,"EF","EFTF",0
-1373,"EF","EFSS",0
-1373,"EDPM","TCEM",5
-1372,"EF","EFTF",0
-1372,"EF","EFSS",2
-1372,"EDPM","TCEM",6
-1371,"EF","EFTF",0
-1371,"EF","EFSS",1
-1371,"EDPM","TCEM",6
-1370,"EF","EFTF",0
-1370,"EF","EFSS",0
-1370,"EDPM","TCEM",4
-1369,"EF","EFTF",0
-1369,"EF","EFSS",0
-1369,"EDPM","TCEM",4
-1368,"EF","EFTF",0
-1368,"EF","EFSS",0
-1368,"EDPM","TCEM",2
-1367,"EF","EFTF",1
-1367,"EF","EFSS",1
-1367,"EDPM","TCEM",6
-1366,"EF","EFTF",0
-1366,"EF","EFSS",0
-1366,"EDPM","TCEM",3
-1365,"EF","EFTF",1
-1365,"EF","EFSS",0
-1365,"EDPM","TCEM",10
-1364,"EF","EFTF",0
-1364,"EF","EFSS",0
-1364,"EDPM","TCEM",8
-1363,"EF","EFTF",0
-1363,"EF","EFSS",0
-1363,"EDPM","TCEM",5
-1362,"EF","EFTF",0
-1362,"EF","EFSS",1
-1362,"EDPM","TCEM",10
-1361,"EF","EFTF",0
-1361,"EF","EFSS",0
-1361,"EDPM","TCEM",3
-1360,"EF","EFTF",0
-1360,"EF","EFSS",0
-1360,"EDPM","TCEM",6
-1359,"EF","EFTF",1
-1359,"EF","EFSS",1
-1359,"EDPM","TCEM",5
-1358,"EF","EFTF",0
-1358,"EF","EFSS",0
-1358,"EDPM","TCEM",4
-1357,"EF","EFTF",1
-1357,"EF","EFSS",2
-1357,"EDPM","TCEM",10
-1356,"EF","EFTF",0
-1356,"EF","EFSS",0
-1356,"EDPM","TCEM",5
-1355,"EF","EFTF",1
-1355,"EF","EFSS",1
-1355,"EDPM","TCEM",5
-1354,"EF","EFTF",0
-1354,"EF","EFSS",0
-1354,"EDPM","TCEM",6
-1353,"EF","EFTF",0
-1353,"EF","EFSS",1
-1353,"EDPM","TCEM",2
-1352,"EF","EFTF",1
-1352,"EF","EFSS",2
-1352,"EDPM","TCEM",8
-1351,"EF","EFTF",0
-1351,"EF","EFSS",0
-1351,"EDPM","TCEM",4
-1350,"EF","EFTF",1
-1350,"EF","EFSS",1
-1350,"EDPM","TCEM",8
-1349,"EF","EFTF",0
-1349,"EF","EFSS",0
-1349,"EDPM","TCEM",3
-1348,"EF","EFTF",1
-1348,"EF","EFSS",0
-1348,"EDPM","TCEM",7
-1347,"EF","EFTF",1
-1347,"EF","EFSS",0
-1347,"EDPM","TCEM",4
-1346,"EF","EFTF",0
-1346,"EF","EFSS",1
-1346,"EDPM","TCEM",3
-1345,"EF","EFTF",0
-1345,"EF","EFSS",1
-1345,"EDPM","TCEM",8
-1344,"EF","EFTF",2
-1344,"EF","EFSS",1
-1344,"EDPM","TCEM",9
-1343,"EF","EFTF",0
-1343,"EF","EFSS",0
-1343,"EDPM","TCEM",5
-1342,"EF","EFTF",0
-1342,"EF","EFSS",0
-1342,"EDPM","TCEM",6
-1341,"EF","EFTF",1
-1341,"EF","EFSS",0
-1341,"EDPM","TCEM",3
-1340,"EF","EFTF",0
-1340,"EF","EFSS",0
-1340,"EDPM","TCEM",3
-1339,"EF","EFTF",1
-1339,"EF","EFSS",0
-1339,"EDPM","TCEM",8
-1338,"EF","EFTF",0
-1338,"EF","EFSS",0
-1338,"EDPM","TCEM",6
-1337,"EF","EFTF",0
-1337,"EF","EFSS",0
-1337,"EDPM","TCEM",5
-1336,"EF","EFTF",0
-1336,"EF","EFSS",1
-1336,"EDPM","TCEM",9
-1335,"EF","EFTF",0
-1335,"EF","EFSS",0
-1335,"EDPM","TCEM",9
-1334,"EF","EFTF",1
-1334,"EF","EFSS",0
-1334,"EDPM","TCEM",5
-1333,"EF","EFTF",1
-1333,"EF","EFSS",2
-1333,"EDPM","TCEM",7
-1332,"EF","EFTF",0
-1332,"EF","EFSS",0
-1332,"EDPM","TCEM",6
-1331,"EF","EFTF",0
-1331,"EF","EFSS",0
-1331,"EDPM","TCEM",8
-1330,"EF","EFTF",1
-1330,"EF","EFSS",2
-1330,"EDPM","TCEM",9
-1329,"EF","EFTF",0
-1329,"EF","EFSS",0
-1329,"EDPM","TCEM",3
-1328,"EF","EFTF",0
-1328,"EF","EFSS",1
-1328,"EDPM","TCEM",4
-1327,"EF","EFTF",0
-1327,"EF","EFSS",0
-1327,"EDPM","TCEM",4
-1326,"EF","EFTF",1
-1326,"EF","EFSS",1
-1326,"EDPM","TCEM",7
-1325,"EF","EFTF",2
-1325,"EF","EFSS",1
-1325,"EDPM","TCEM",10
-1324,"EF","EFTF",0
-1324,"EF","EFSS",0
-1324,"EDPM","TCEM",5
-1323,"EF","EFTF",1
-1323,"EF","EFSS",0
-1323,"EDPM","TCEM",11
-1322,"EF","EFTF",0
-1322,"EF","EFSS",0
-1322,"EDPM","TCEM",5
-1321,"EF","EFTF",2
-1321,"EF","EFSS",0
-1321,"EDPM","TCEM",5
-1320,"EF","EFTF",0
-1320,"EF","EFSS",0
-1320,"EDPM","TCEM",5
-1319,"EF","EFTF",0
-1319,"EF","EFSS",0
-1319,"EDPM","TCEM",4
-1318,"EF","EFTF",0
-1318,"EF","EFSS",1
-1318,"EDPM","TCEM",4
-1317,"EF","EFTF",2
-1317,"EF","EFSS",1
-1317,"EDPM","TCEM",5
-1316,"EF","EFTF",0
-1316,"EF","EFSS",0
-1316,"EDPM","TCEM",8
-1315,"EF","EFTF",0
-1315,"EF","EFSS",0
-1315,"EDPM","TCEM",6
-1314,"EF","EFTF",0
-1314,"EF","EFSS",0
-1314,"EDPM","TCEM",3
-1313,"EF","EFTF",0
-1313,"EF","EFSS",0
-1313,"EDPM","TCEM",3
-1312,"EF","EFTF",0
-1312,"EF","EFSS",0
-1312,"EDPM","TCEM",7
-1311,"EF","EFTF",0
-1311,"EF","EFSS",0
-1311,"EDPM","TCEM",7
-1310,"EF","EFTF",1
-1310,"EF","EFSS",1
-1310,"EDPM","TCEM",9
-1309,"EF","EFTF",1
-1309,"EF","EFSS",0
-1309,"EDPM","TCEM",4
-1308,"EF","EFTF",0
-1308,"EF","EFSS",0
-1308,"EDPM","TCEM",5
-1307,"EF","EFTF",0
-1307,"EF","EFSS",0
-1307,"EDPM","TCEM",7
-1306,"EF","EFTF",0
-1306,"EF","EFSS",1
-1306,"EDPM","TCEM",7
-1305,"EF","EFTF",1
-1305,"EF","EFSS",1
-1305,"EDPM","TCEM",8
-1304,"EF","EFTF",0
-1304,"EF","EFSS",0
-1304,"EDPM","TCEM",4
-1303,"EF","EFTF",0
-1303,"EF","EFSS",1
-1303,"EDPM","TCEM",5
-1302,"EF","EFTF",0
-1302,"EF","EFSS",1
-1302,"EDPM","TCEM",5
-1301,"EF","EFTF",0
-1301,"EF","EFSS",0
-1301,"EDPM","TCEM",4
-1300,"EF","EFTF",1
-1300,"EF","EFSS",1
-1300,"EDPM","TCEM",3
-1299,"EF","EFTF",0
-1299,"EF","EFSS",0
-1299,"EDPM","TCEM",14
-1298,"EF","EFTF",0
-1298,"EF","EFSS",1
-1298,"EDPM","TCEM",10
-1297,"EF","EFTF",0
-1297,"EF","EFSS",1
-1297,"EDPM","TCEM",11
-1296,"EF","EFTF",1
-1296,"EF","EFSS",0
-1296,"EDPM","TCEM",3
-1295,"EF","EFTF",0
-1295,"EF","EFSS",0
-1295,"EDPM","TCEM",5
-1294,"EF","EFTF",0
-1294,"EF","EFSS",0
-1294,"EDPM","TCEM",5
-1293,"EF","EFTF",0
-1293,"EF","EFSS",0
-1293,"EDPM","TCEM",2
-1292,"EF","EFTF",1
-1292,"EF","EFSS",0
-1292,"EDPM","TCEM",2
-1291,"EF","EFTF",0
-1291,"EF","EFSS",0
-1291,"EDPM","TCEM",4
-1290,"EF","EFTF",0
-1290,"EF","EFSS",0
-1290,"EDPM","TCEM",6
-1289,"EF","EFTF",1
-1289,"EF","EFSS",0
-1289,"EDPM","TCEM",3
-1288,"EF","EFTF",0
-1288,"EF","EFSS",0
-1288,"EDPM","TCEM",5
-1287,"EF","EFTF",0
-1287,"EF","EFSS",0
-1287,"EDPM","TCEM",6
-1286,"EF","EFTF",0
-1286,"EF","EFSS",0
-1286,"EDPM","TCEM",6
-1285,"EF","EFTF",0
-1285,"EF","EFSS",1
-1285,"EDPM","TCEM",2
-1284,"EF","EFTF",0
-1284,"EF","EFSS",0
-1284,"EDPM","TCEM",7
-1283,"EF","EFTF",1
-1283,"EF","EFSS",0
-1283,"EDPM","TCEM",8
-1282,"EF","EFTF",0
-1282,"EF","EFSS",0
-1282,"EDPM","TCEM",3
-1281,"EF","EFTF",0
-1281,"EF","EFSS",0
-1281,"EDPM","TCEM",10
-1280,"EF","EFTF",1
-1280,"EF","EFSS",0
-1280,"EDPM","TCEM",9
-1279,"EF","EFTF",1
-1279,"EF","EFSS",1
-1279,"EDPM","TCEM",8
-1278,"EF","EFTF",0
-1278,"EF","EFSS",0
-1278,"EDPM","TCEM",5
-1277,"EF","EFTF",1
-1277,"EF","EFSS",1
-1277,"EDPM","TCEM",5
-1276,"EF","EFTF",1
-1276,"EF","EFSS",0
-1276,"EDPM","TCEM",6
-1275,"EF","EFTF",0
-1275,"EF","EFSS",1
-1275,"EDPM","TCEM",2
-1274,"EF","EFTF",1
-1274,"EF","EFSS",0
-1274,"EDPM","TCEM",8
-1273,"EF","EFTF",0
-1273,"EF","EFSS",0
-1273,"EDPM","TCEM",7
-1272,"EF","EFTF",0
-1272,"EF","EFSS",0
-1272,"EDPM","TCEM",4
-1271,"EF","EFTF",0
-1271,"EF","EFSS",1
-1271,"EDPM","TCEM",6
-1270,"EF","EFTF",0
-1270,"EF","EFSS",0
-1270,"EDPM","TCEM",2
-1269,"EF","EFTF",1
-1269,"EF","EFSS",0
-1269,"EDPM","TCEM",3
-1268,"EF","EFTF",0
-1268,"EF","EFSS",0
-1268,"EDPM","TCEM",7
-1267,"EF","EFTF",1
-1267,"EF","EFSS",1
-1267,"EDPM","TCEM",3
-1266,"EF","EFTF",1
-1266,"EF","EFSS",0
-1266,"EDPM","TCEM",6
-1265,"EF","EFTF",0
-1265,"EF","EFSS",0
-1265,"EDPM","TCEM",7
-1264,"EF","EFTF",0
-1264,"EF","EFSS",0
-1264,"EDPM","TCEM",6
-1263,"EF","EFTF",0
-1263,"EF","EFSS",0
-1263,"EDPM","TCEM",1
-1262,"EF","EFTF",0
-1262,"EF","EFSS",0
-1262,"EDPM","TCEM",5
-1261,"EF","EFTF",0
-1261,"EF","EFSS",0
-1261,"EDPM","TCEM",9
-1260,"EF","EFTF",1
-1260,"EF","EFSS",0
-1260,"EDPM","TCEM",9
-1259,"EF","EFTF",0
-1259,"EF","EFSS",1
-1259,"EDPM","TCEM",10
-1258,"EF","EFTF",0
-1258,"EF","EFSS",0
-1258,"EDPM","TCEM",9
-1257,"EF","EFTF",1
-1257,"EF","EFSS",0
-1257,"EDPM","TCEM",7
-1256,"EF","EFTF",1
-1256,"EF","EFSS",0
-1256,"EDPM","TCEM",4
-1255,"EF","EFTF",0
-1255,"EF","EFSS",0
-1255,"EDPM","TCEM",3
-1254,"EF","EFTF",0
-1254,"EF","EFSS",0
-1254,"EDPM","TCEM",9
-1253,"EF","EFTF",1
-1253,"EF","EFSS",0
-1253,"EDPM","TCEM",8
-1252,"EF","EFTF",0
-1252,"EF","EFSS",0
-1252,"EDPM","TCEM",7
-1251,"EF","EFTF",1
-1251,"EF","EFSS",0
-1251,"EDPM","TCEM",5
-1250,"EF","EFTF",1
-1250,"EF","EFSS",0
-1250,"EDPM","TCEM",4
-1249,"EF","EFTF",0
-1249,"EF","EFSS",0
-1249,"EDPM","TCEM",6
-1248,"EF","EFTF",0
-1248,"EF","EFSS",0
-1248,"EDPM","TCEM",4
-1247,"EF","EFTF",0
-1247,"EF","EFSS",0
-1247,"EDPM","TCEM",7
-1246,"EF","EFTF",1
-1246,"EF","EFSS",0
-1246,"EDPM","TCEM",6
-1245,"EF","EFTF",1
-1245,"EF","EFSS",0
-1245,"EDPM","TCEM",2
-1244,"EF","EFTF",1
-1244,"EF","EFSS",0
-1244,"EDPM","TCEM",6
-1243,"EF","EFTF",2
-1243,"EF","EFSS",1
-1243,"EDPM","TCEM",7
-1242,"EF","EFTF",0
-1242,"EF","EFSS",0
-1242,"EDPM","TCEM",5
-1241,"EF","EFTF",1
-1241,"EF","EFSS",2
-1241,"EDPM","TCEM",7
-1240,"EF","EFTF",1
-1240,"EF","EFSS",0
-1240,"EDPM","TCEM",3
-1239,"EF","EFTF",0
-1239,"EF","EFSS",0
-1239,"EDPM","TCEM",7
-1238,"EF","EFTF",0
-1238,"EF","EFSS",0
-1238,"EDPM","TCEM",7
-1237,"EF","EFTF",1
-1237,"EF","EFSS",0
-1237,"EDPM","TCEM",6
-1236,"EF","EFTF",0
-1236,"EF","EFSS",0
-1236,"EDPM","TCEM",8
-1235,"EF","EFTF",1
-1235,"EF","EFSS",2
-1235,"EDPM","TCEM",3
-1234,"EF","EFTF",0
-1234,"EF","EFSS",0
-1234,"EDPM","TCEM",3
-1233,"EF","EFTF",3
-1233,"EF","EFSS",1
-1233,"EDPM","TCEM",3
-1232,"EF","EFTF",1
-1232,"EF","EFSS",0
-1232,"EDPM","TCEM",5
-1231,"EF","EFTF",0
